Particpant,Task,R1,R2,R3,R4,R5,R6,R7,R8
P1-A-GCM,A,105.72,199.367088607595,167.114093959732,264.285714285714,178.378378378378,210.989010989011,252.733118971061,322.668481960517
P2-A-GCM,B,210.416666666667,174.061433447099,154.615384615385,150.338600451467,159.83606557377,175.862068965517,146.548672566372,188.709677419355
P3-A-GCM,B,114.555765595463,NA,NA,86.9451697127937,32.9391891891892,90.3654485049834,79.8457087753135,74.2857142857143
P4-A-GCM,A,NA,145.161290322581,149.54954954955,204.294478527607,172.92576419214,166.95652173913,233.928571428571,146.749226006192
P5-A-GCM,B,186.461538461538,109.913793103448,104.145077720207,102.304147465438,85.3391684901531,NA,NA,173.333333333333
P6-A-GCM,B,NA,168.874172185431,100,168.181818181818,NA,NA,NA,216.666666666667
P7-A-GCM,B,70.1388888888889,88.0829015544041,NA,83.3541927409261,148.28897338403,141.176470588235,61.2426035502959,124.468085106383
P8-A-GCM,A,25.239852398524,NA,69.4560669456067,112.690355329949,107.608695652174,93.2038834951455,155.643564356436,116.461916461916
P9-A-GCM,B,109.981851179673,NA,116.860465116279,86.3813229571984,174.34554973822,NA,122.848664688427,116.708229426434
P10-A-GCM,B,NA,NA,142.553191489362,139.915966386555,122.257053291536,233.810888252149,205.970149253731,192.197125256674