Particpant,TaskSet,AvgTimePerTarget,Start,End,Notes
P1-A-CCM,B,9.2,14.7,106.9,NA
P2-A-CCM,B,21.5,15.4,230,NA
P3-A-CCM,A,13.5,15.1,149.8,NA
P4-A-CCM,A,7.1,9.1,79.9,NA
P5-A-CCM,B,7.3,6.8,80,Did not use CCM
P6-A-CCM,A,12.2,8.9,130.4,NA
P7-A-CCM,A,14.0,17.3,157,NA
P8-A-CCM,A,26.9,29.9,298.6,NA
P9-A-CCM,B,11.4,5.8,120,NA
P10-A-CCM,B,11.7,6.8,124.1,NA
,,,,,
P1-A-GCM,A,13.8,19.8,157.9,NA
P2-A-GCM,A,17.9,18.7,197.6,NA
P3-A-GCM,B,22.3,21.4,244.1,NA
P4-A-GCM,B,14.9,8.27,157.2,NA
P5-A-GCM,A,12.9,18.9,147.4,NA
P6-A-GCM,B,10.6,19.8,125.9,NA
P7-A-GCM,B,11.6,24,140.3,NA
P8-A-GCM,B,14.0,15.4,155.3,NA
P9-A-GCM,A,10.5,10.4,115,NA
P10-A-GCM,A,15.5,9.4,164.5,NA
,,,,,
P1-B-CCM,B,13.5,14.9,150.1,NA
P2-B-CCM,A,7.3,16.7,89.4,NA
P3-B-CCM,A,11.8,15.7,133.5,NA
P4-B-CCM,B,7.6,5.6,81.9,Did not use CCM
P6-B-CCM,A,15.1,24.9,175.7,NA
P7-B-CCM,A,10.1,7.9,109.2,NA
P8-B-CCM,B,11.4,9,123.4,NA
P9-B-CCM,A,11.8,5.8,124.2,NA
P10-B-CCM,B,5.8,26,84.2,NA
,,,,,
P1-B-GCM,A,26.2,36.3,298.5,NA
P2-B-GCM,B,18.8,11.6,199.2,NA
P3-B-GCM,B,24.1,70.9,311.6,NA
P4-B-GCM,A,16.1,13.8,174.4,NA
P6-B-GCM,B,21.2,15.2,226.8,NA
P7-B-GCM,B,10.3,14.5,117.5,NA
P8-B-GCM,A,11.7,14,131.4,NA
P9-B-GCM,B,18.8,13.3,201.5,NA
P10-B-GCM,A,16.4,24,187.6,NA